epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.731473,0.545225,1.652039,0.506361,0.00000337
2,1.528295,0.685009,1.289376,0.659033,0.00033670
3,1.189842,0.690070,0.991021,0.641221,0.00067003
4,0.985001,0.889943,0.696745,0.839695,0.00100000
5,0.854554,0.746996,0.823902,0.684478,0.00099958
6,0.751091,0.853890,0.634981,0.786260,0.00099834
7,0.690005,0.800127,0.682887,0.737913,0.00099626
8,0.657599,0.729918,0.761862,0.641221,0.00099336
9,0.629868,0.872233,0.567737,0.806616,0.00098963
10,0.612147,0.954459,0.364148,0.918575,0.00098509
11,0.595835,0.719798,0.943562,0.641221,0.00097975
12,0.593380,0.951297,0.372658,0.893130,0.00097360
13,0.584122,0.982290,0.257905,0.966921,0.00096667
14,0.556710,0.853257,0.547916,0.814249,0.00095896
15,0.561897,0.958254,0.323462,0.926209,0.00095048
16,0.543513,0.989880,0.227459,0.961832,0.00094126
17,0.550255,0.975332,0.303512,0.926209,0.00093130
18,0.545241,0.976597,0.234304,0.951654,0.00092063
19,0.536122,0.976597,0.316314,0.923664,0.00090925
20,0.527648,0.984187,0.266318,0.936387,0.00089719
21,0.524909,0.989880,0.266110,0.954198,0.00088448
22,0.526991,0.788109,0.781350,0.750636,0.00087112
23,0.522976,0.996205,0.193962,0.964377,0.00085714
24,0.520906,0.992410,0.210306,0.961832,0.00084257
25,0.513123,0.999367,0.166459,0.982188,0.00082743
26,0.510490,0.995572,0.207237,0.966921,0.00081174
27,0.511621,0.955092,0.309709,0.921120,0.00079554
28,0.506708,0.994940,0.231415,0.956743,0.00077884
29,0.508089,0.996837,0.195210,0.961832,0.00076168
30,0.505168,0.993675,0.189574,0.964377,0.00074409
31,0.505032,0.996205,0.201002,0.956743,0.00072609
32,0.505272,0.997470,0.169818,0.972010,0.00070771
33,0.502707,0.941809,0.382653,0.895674,0.00068898
34,0.501456,0.993675,0.201211,0.964377,0.00066994
35,0.502135,0.961417,0.335620,0.921120,0.00065062
36,0.500782,0.998735,0.196057,0.972010,0.00063105
37,0.497635,0.998102,0.208707,0.966921,0.00061126
