emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle_pitch,angle_roll,angle_yaw
123,126,123,125,125,125,119,131,231,150,254,127,127,127,122,127,104
123,126,123,126,125,126,119,131,231,150,254,127,127,127,122,127,104
124,126,124,126,126,126,120,131,231,150,254,127,127,127,122,127,104
124,127,125,126,126,127,120,132,231,150,254,127,127,127,122,127,104
125,127,125,126,127,127,121,132,231,150,254,127,127,127,122,127,104
125,127,126,126,127,128,122,132,231,150,254,127,127,127,122,127,104
125,128,127,126,128,128,123,132,231,150,254,127,127,127,122,127,104
126,128,127,126,128,129,124,132,231,150,254,127,127,127,122,127,104
122,125,121,125,122,124,119,130,231,150,254,127,127,127,122,127,104
123,125,122,125,123,125,119,131,231,150,254,127,127,127,122,127,104
121,125,119,124,126,127,119,133,232,150,255,127,127,127,122,127,104
121,125,120,124,126,126,119,133,232,150,255,127,127,127,122,127,104
121,125,120,124,126,126,121,133,232,150,255,127,127,127,122,127,104
121,125,120,124,126,126,122,133,232,150,255,127,127,127,122,127,104
122,125,121,124,126,126,122,133,232,150,255,127,127,127,122,127,104
122,125,122,124,126,126,123,134,232,150,255,127,127,127,122,127,104
123,125,122,124,126,126,124,134,232,150,255,127,127,127,122,127,104
121,126,119,124,125,127,119,133,232,150,255,127,127,127,122,127,104
121,126,119,124,126,127,119,133,232,150,255,127,127,127,122,127,104
121,125,119,124,126,127,119,133,232,150,255,127,127,127,122,127,104
124,127,124,125,126,128,120,137,232,149,255,127,127,127,122,127,104
124,127,124,125,126,128,121,137,232,149,255,127,127,127,122,127,104
124,127,124,125,126,128,122,137,232,149,255,127,127,127,122,127,104
124,127,124,125,126,127,123,138,232,149,255,127,127,127,122,127,104
124,127,125,125,126,127,123,138,232,149,255,127,127,127,122,127,104
125,127,125,124,126,127,124,138,232,149,255,127,127,127,122,127,104
124,127,122,125,126,128,121,138,232,149,255,127,127,127,122,127,104
124,127,123,125,127,128,120,138,232,149,255,127,127,127,122,127,104
124,127,123,125,127,128,120,137,232,149,255,127,127,127,122,127,104
124,127,123,125,126,128,120,137,232,149,255,127,127,127,122,127,104
124,128,127,127,129,128,120,141,233,150,255,127,127,127,122,127,104
124,128,127,127,129,129,121,141,233,150,255,127,127,127,122,127,104
124,128,127,127,129,129,122,141,233,150,255,127,127,127,122,127,104
125,128,128,127,129,129,122,141,233,150,255,127,127,127,122,127,104
125,128,128,127,129,129,123,141,233,150,255,127,127,127,122,127,104
123,128,126,127,128,129,119,141,233,150,255,127,127,127,122,127,104
123,128,126,127,128,128,119,141,233,150,255,127,127,127,122,127,104
123,129,126,127,128,128,119,141,233,150,255,127,127,127,122,127,104
123,128,126,127,128,128,119,141,233,150,255,127,127,127,122,127,104
123,128,126,127,128,128,119,141,233,150,255,127,127,127,122,127,104
122,126,124,126,127,127,118,142,234,150,255,127,127,127,122,127,104
122,126,125,127,128,127,119,142,234,150,255,127,127,127,122,127,104
123,126,125,127,128,127,119,142,234,150,255,127,127,127,122,127,104
123,126,126,127,128,127,120,142,234,150,255,127,127,127,122,127,104
122,125,120,125,124,124,117,141,234,150,255,127,127,127,122,127,104
122,125,121,126,124,125,116,141,234,150,255,127,127,127,122,127,104
122,125,121,126,125,125,116,141,234,150,255,127,127,127,122,127,104
122,125,122,126,126,126,116,141,234,150,255,127,127,127,122,127,104
122,125,122,126,126,126,116,142,234,150,255,127,127,127,122,127,104
122,125,123,126,127,127,117,142,234,150,255,127,127,127,122,127,104
122,126,124,126,125,126,117,143,235,151,255,127,127,127,122,127,104
122,126,124,126,126,126,118,143,235,151,255,127,127,127,122,127,104
123,126,125,126,126,127,118,144,235,151,255,127,127,127,122,127,104
122,127,121,126,125,126,115,143,235,151,255,127,127,127,122,127,104
121,127,121,126,125,126,115,142,235,151,255,127,127,127,122,127,104
121,127,122,126,125,126,115,142,235,151,255,127,127,127,122,127,104
121,127,122,126,124,126,115,142,235,151,255,127,127,127,122,127,104
121,127,122,126,124,126,115,142,235,151,255,127,127,127,122,127,104
121,126,123,126,125,126,115,142,235,151,255,127,127,127,122,127,104
122,126,123,126,125,126,116,143,235,151,255,127,127,127,122,127,104
123,127,125,127,126,127,118,143,234,151,255,127,127,127,122,127,104
124,127,126,127,126,127,119,143,234,151,255,127,127,127,122,127,104
122,127,122,126,125,125,116,143,234,151,255,127,127,127,122,127,104
122,127,122,126,125,125,115,143,234,151,255,127,127,127,122,127,104
122,127,123,126,125,125,115,143,234,151,255,127,127,127,122,127,104
122,127,123,126,125,125,115,143,234,151,255,127,127,127,122,127,104
123,127,124,126,125,126,115,142,234,151,255,127,127,127,122,127,104
123,127,124,126,125,126,115,142,234,151,255,127,127,127,122,127,104
123,127,124,126,125,126,116,142,234,151,255,127,127,127,122,127,104
123,127,125,127,126,127,118,143,234,151,255,127,127,127,122,127,104
126,127,124,127,129,130,120,142,234,151,255,127,127,127,122,127,104
126,128,121,127,126,128,117,142,234,151,255,127,127,127,122,127,104
126,128,121,126,126,128,117,142,234,151,255,127,127,127,122,127,104
126,128,121,126,126,128,117,142,234,151,255,127,127,127,122,127,104
125,128,121,126,126,128,117,142,234,151,255,127,127,127,122,127,104
125,128,121,126,126,128,117,141,234,151,255,127,127,127,122,127,104
125,128,121,127,127,128,117,141,234,151,255,127,127,127,122,127,104
125,127,122,127,127,128,118,141,234,151,255,127,127,127,122,127,104
126,127,122,127,128,129,119,142,234,151,255,127,127,127,122,127,104
126,127,123,127,128,129,119,142,234,151,255,127,127,127,122,127,104
124,129,124,127,126,127,118,139,233,150,255,127,127,127,122,127,104
124,129,124,127,126,127,117,139,233,150,255,127,127,127,122,127,104
124,129,124,127,126,127,117,139,233,150,255,127,127,127,122,127,104
124,129,125,127,126,127,116,139,233,150,255,127,127,127,122,127,104
124,129,125,127,126,128,116,139,233,150,255,127,127,127,122,127,104
125,129,126,127,126,128,117,139,233,150,255,127,127,127,122,127,104
125,129,126,127,127,128,117,139,233,150,255,127,127,127,122,127,104
125,129,126,127,127,128,117,139,233,150,255,127,127,127,122,127,104
