emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle_pitch,angle_roll,angle_yaw
126,126,125,127,127,127,127,128,255,148,251,127,127,127,121,135,60
126,126,125,127,127,127,127,128,255,148,251,127,127,127,121,135,60
126,126,125,127,127,127,127,128,255,148,251,127,127,127,121,135,60
126,126,125,127,127,127,127,127,255,148,251,127,127,127,121,135,60
126,126,126,127,127,127,127,127,255,148,251,127,127,127,121,135,60
126,126,126,127,127,127,127,127,255,148,251,127,127,127,121,135,60
126,126,127,127,127,127,127,127,255,148,251,127,127,127,121,135,60
126,126,127,127,126,127,127,127,255,148,251,127,127,127,121,135,60
127,126,125,126,127,127,127,128,255,148,251,127,127,127,121,135,60
126,126,125,127,127,127,127,128,255,148,251,127,127,127,121,135,60
127,126,127,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,126,126,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,126,126,127,126,127,127,128,255,149,251,127,127,127,121,135,60
127,126,126,127,126,127,127,128,255,149,251,127,127,127,121,135,60
127,126,127,126,126,127,127,128,255,149,251,127,127,127,121,135,60
127,126,127,126,126,127,127,128,255,149,251,127,127,127,121,135,60
127,126,127,126,126,127,127,128,255,149,251,127,127,127,121,135,60
127,126,127,127,126,127,127,128,255,149,251,127,127,127,121,135,60
127,126,127,127,126,127,127,128,255,149,251,127,127,127,121,135,60
127,126,127,127,126,127,127,128,255,149,251,127,127,127,121,135,60
126,127,127,127,127,127,126,127,255,149,251,127,127,127,121,135,60
126,127,127,127,127,127,126,127,255,149,251,127,127,127,121,135,60
126,127,127,127,127,127,126,127,255,149,251,127,127,127,121,135,60
126,127,127,127,127,127,126,127,255,149,251,127,127,127,121,135,60
126,127,127,127,127,127,127,127,255,149,251,127,127,127,121,135,60
126,127,127,127,127,127,126,127,255,149,251,127,127,127,121,135,60
126,127,128,127,127,127,126,128,255,149,251,127,127,127,121,135,60
127,127,128,127,127,127,126,128,255,149,251,127,127,127,121,135,60
126,127,127,127,127,127,126,128,255,149,251,127,127,127,121,135,60
126,127,127,127,127,127,126,128,255,149,251,127,127,127,121,135,60
127,127,127,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,127,127,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,127,127,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,127,127,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,127,127,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,127,127,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,127,127,127,126,127,127,128,255,149,251,127,127,127,121,135,60
127,127,127,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,127,127,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,127,127,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,127,126,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,127,126,127,126,127,127,128,255,149,251,127,127,127,121,135,60
127,127,126,127,126,127,127,128,255,149,251,127,127,127,121,135,60
127,127,126,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,126,127,126,126,127,127,128,255,149,251,127,127,127,121,135,60
127,126,127,126,126,126,127,128,255,149,251,127,127,127,121,135,60
127,127,127,127,126,127,127,128,255,149,251,127,127,127,121,135,60
127,127,127,127,126,127,127,128,255,149,251,127,127,127,121,135,60
127,127,127,127,126,127,127,128,255,149,251,127,127,127,121,135,60
127,127,126,127,127,127,127,128,255,149,251,127,127,127,121,135,60
126,127,126,127,127,127,127,128,255,149,251,127,127,127,121,135,60
126,127,126,127,127,127,127,128,255,149,251,127,127,127,121,135,60
126,127,127,127,127,127,127,128,255,149,251,127,127,127,121,135,60
126,126,127,126,126,127,127,128,255,149,251,127,127,127,121,135,60
126,126,127,126,126,127,127,128,255,149,251,127,127,127,121,135,60
126,126,126,126,127,127,127,128,255,149,251,127,127,127,121,135,60
126,126,126,127,127,127,127,128,255,149,251,127,127,127,121,135,60
126,126,126,127,127,127,127,128,255,149,251,127,127,127,121,135,60
126,126,126,127,127,127,127,128,255,149,251,127,127,127,121,135,60
126,126,126,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,127,128,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,127,128,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,127,129,128,126,127,127,128,255,149,251,127,127,127,121,135,60
127,127,128,128,127,127,127,128,255,149,251,127,127,127,121,135,60
127,127,128,127,126,127,127,128,255,149,251,127,127,127,121,135,60
127,127,128,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,127,128,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,127,128,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,127,127,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,127,128,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,127,127,127,127,127,127,128,255,149,251,127,127,127,121,135,60
126,126,125,126,127,127,127,128,255,149,251,127,127,127,121,135,60
126,126,125,126,127,127,127,128,255,149,251,127,127,127,121,135,60
126,126,126,126,127,127,127,128,255,149,251,127,127,127,121,135,60
126,126,126,126,127,127,127,128,255,149,251,127,127,127,121,135,60
126,126,126,126,127,127,127,128,255,149,251,127,127,127,121,135,60
126,126,126,126,127,127,127,128,255,149,251,127,127,127,121,135,60
126,126,126,126,127,127,127,128,255,149,251,127,127,127,121,135,60
126,126,126,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,126,126,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,126,126,127,126,127,127,129,255,149,251,127,127,127,121,135,60
127,126,126,127,126,127,127,128,255,149,251,127,127,127,121,135,60
127,126,126,127,126,127,127,128,255,149,251,127,127,127,121,135,60
127,126,126,127,126,127,127,128,255,149,251,127,127,127,121,135,60
127,126,126,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,126,127,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,126,127,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,126,127,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,127,127,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,127,127,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,127,126,126,127,127,127,128,255,149,251,127,127,127,121,135,60
127,127,126,126,127,127,127,128,255,149,251,127,127,127,121,135,60
127,126,125,126,127,127,127,128,255,149,251,127,127,127,121,135,60
127,126,125,126,127,127,127,128,255,149,251,127,127,127,121,135,60
127,126,125,126,127,127,127,128,255,149,251,127,127,127,121,135,60
127,126,125,127,127,127,126,128,255,149,251,127,127,127,121,135,60
127,126,125,127,127,127,126,128,255,149,251,127,127,127,121,135,60
127,126,125,127,127,127,126,128,255,149,251,127,127,127,121,135,60
127,126,125,127,127,127,126,128,255,149,251,127,127,127,121,135,60
127,126,124,127,127,127,126,128,255,149,251,127,127,127,121,135,60
127,127,128,128,127,127,127,128,255,149,251,127,127,127,121,135,60
127,127,128,128,127,127,127,128,255,149,251,127,127,127,121,135,60
127,127,127,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,127,126,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,127,126,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,127,125,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,127,125,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,126,124,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,126,123,126,127,127,127,128,255,149,251,127,127,127,121,135,60
127,127,129,128,127,127,127,128,255,149,251,127,127,127,121,135,60
126,127,129,127,127,127,127,127,255,149,251,127,127,127,121,135,60
126,127,129,127,127,127,127,127,255,149,251,127,127,127,121,135,60
126,127,129,127,127,127,127,127,255,149,251,127,127,127,121,135,60
126,127,130,127,127,127,127,127,255,149,251,127,127,127,121,135,60
126,127,130,127,127,127,127,127,255,149,251,127,127,127,121,135,60
127,127,130,128,127,127,127,128,255,149,251,127,127,127,121,135,60
127,127,130,127,127,127,127,128,255,149,251,127,127,127,121,135,60
127,127,130,128,127,127,127,128,255,149,251,127,127,127,121,135,60
126,127,128,127,127,127,127,127,255,149,251,127,127,127,121,135,60
126,127,128,127,127,127,127,127,255,149,251,127,127,127,121,135,60
126,127,126,126,126,127,127,128,255,149,251,127,127,127,121,135,60
126,127,126,127,127,127,127,128,255,149,251,127,127,127,121,135,60
126,127,126,127,127,127,127,128,255,149,251,127,127,127,121,135,60
126,127,126,127,127,127,127,128,255,149,251,127,127,127,121,135,60
126,127,127,127,127,127,127,128,255,149,251,127,127,127,121,135,60
126,127,127,127,127,127,127,128,255,149,251,127,127,127,121,135,60
126,127,127,127,127,127,127,128,255,149,251,127,127,127,121,135,60
126,126,127,127,126,127,127,128,255,149,251,127,127,127,121,135,60
126,126,127,127,126,127,127,128,255,149,251,127,127,127,121,135,60
