emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle_pitch,angle_roll,angle_yaw
131,127,127,127,127,131,134,139,205,156,253,127,127,127,120,126,141
131,127,128,127,127,131,133,139,205,156,253,127,127,127,120,126,141
131,127,128,128,127,130,133,139,205,156,253,127,127,127,120,126,141
131,127,128,128,127,130,132,138,205,156,253,127,127,127,120,126,141
131,127,128,128,127,130,132,138,205,156,253,127,127,127,120,126,141
130,127,127,127,128,131,134,137,205,156,253,127,127,127,120,126,141
131,127,127,127,128,131,134,138,205,156,253,127,127,127,120,126,141
131,127,127,127,128,131,134,139,205,156,253,127,127,127,120,126,141
131,127,127,127,128,131,134,139,205,156,253,127,127,127,120,126,141
131,127,127,127,128,131,134,139,205,156,253,127,127,127,120,126,141
131,127,127,125,125,130,134,139,204,156,253,127,127,127,120,126,141
131,127,127,124,125,130,133,139,204,156,253,127,127,127,120,126,141
131,127,127,124,124,130,133,139,204,156,253,127,127,127,120,126,141
130,127,127,124,124,130,132,138,204,156,253,127,127,127,120,126,141
130,127,126,124,124,129,132,138,204,156,253,127,127,127,120,126,141
131,127,128,126,127,130,134,137,204,156,253,127,127,127,120,126,141
131,127,128,125,126,131,134,138,204,156,253,127,127,127,120,126,141
131,127,128,125,126,131,135,139,204,156,253,127,127,127,120,126,141
131,127,127,125,126,131,134,139,204,156,253,127,127,127,120,126,141
131,127,127,125,125,131,134,139,204,156,253,127,127,127,120,126,141
132,128,129,129,129,132,135,140,204,156,253,127,127,127,120,126,141
131,128,129,129,128,132,134,139,204,156,253,127,127,127,120,126,141
131,128,129,129,128,131,134,139,204,156,253,127,127,127,120,126,141
131,128,129,129,128,131,133,139,204,156,253,127,127,127,120,126,141
131,128,130,130,130,132,135,138,204,156,253,127,127,127,120,126,141
131,128,130,130,130,132,135,138,204,156,253,127,127,127,120,126,141
132,128,130,130,130,132,136,140,204,156,253,127,127,127,120,126,141
132,128,130,130,130,133,136,140,204,156,253,127,127,127,120,126,141
132,128,130,130,129,133,136,140,204,156,253,127,127,127,120,126,141
132,128,129,130,129,132,135,140,204,156,253,127,127,127,120,126,141
131,127,128,126,127,131,134,139,203,156,253,127,127,127,120,126,141
131,127,128,126,126,131,134,139,203,156,253,127,127,127,120,126,141
131,127,127,126,126,130,133,138,203,156,253,127,127,127,120,126,141
130,127,128,127,127,131,135,137,203,156,253,127,127,127,120,126,141
131,127,128,127,127,131,135,138,203,156,253,127,127,127,120,126,141
131,127,128,127,127,131,135,139,203,156,253,127,127,127,120,126,141
131,127,128,127,127,131,135,139,203,156,253,127,127,127,120,126,141
131,127,128,127,127,131,135,139,203,156,253,127,127,127,120,126,141
